Year,Month,Class,SKU,Sum of Amount
2023,Mar,Suaga Organic Herbs SAS,CM-Chives,-1106.68
2023,Mar,Suaga Organic Herbs SAS,CM-Dill,-17.5
2023,Mar,Suaga Organic Herbs SAS,CM-Italian Oregano,-35.76
2023,Mar,Suaga Organic Herbs SAS,CM-Mint,-2106.72
2023,Mar,Suaga Organic Herbs SAS,CM-Parsley,-35
2023,Mar,Suaga Organic Herbs SAS,Coriander,2183.876486
2023,Mar,Suaga Organic Herbs SAS,Dill,1546.21354
2023,Mar,Suaga Organic Herbs SAS,Italian Oregano,958.7914357
2023,Mar,Suaga Organic Herbs SAS,Marjoram,159.838903
2023,Mar,Suaga Organic Herbs SAS,Mint,22908.13555
2023,Mar,Suaga Organic Herbs SAS,Oregano,168.2241858
2023,Mar,Suaga Organic Herbs SAS,Parsley,613.5011805
2023,Mar,Suaga Organic Herbs SAS,Rosemary,1520.952819
2023,Mar,Suaga Organic Herbs SAS,Tarragon,2078.64183
2023,Mar,Suaga Organic Herbs SAS,Temperature Recorder,0
2023,Mar,Suaga Organic Herbs SAS,Thyme,4236.886091
